id,Service name,Clean_Service_Name,City,best_match_gt,similarity_score,is_match
1343,Kids Help Phone,kids help phone,,Indwell,57,False
1344,Breathing in Trees Counseling,breathing in trees counseling,,Wellkin,67,False
1349,Mental Health Helpline,mental health helpline,,CMHA Thames Valley Addiction and Mental Health Services,77,True
1350,Good2Talk Post-Secondary Student Helpline,good2talk post secondary student helpline,,Wellkin,71,False
1352,SAVIS (Sexual Assault and Violence Intervention Services),savis,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",60,False
1354,Interval House of Hamilton,interval house of hamilton,,Huron Health System - Alexandra Marine and General Hospital,55,False
1362,K Chambers Counselling,k chambers counselling,-,Wellkin,77,True
1369,Stittsville Counselling Services,stittsville counselling services,-,Wellkin,71,False
1372,Carleton Place Positive Change Centre,carleton place positive change centre,-,Canadian Mental Health Association Hastings Prince Edward,49,False
1373,Terrace Wellness Group,terrace wellness group,-,Wellkin,71,False
1379,Ottawa Centre For Resilience,ottawa centre for resilience,-,Wellkin,57,False
1381,Rapids Family Health Team,rapids family health team,,Family Mental Health Support Network of Niagara,68,False
1389,Caledon Community Services,caledon community services,,Eden Community Homes,77,True
1390,Peel Public Works,peel public works,,General Topics and Information - Halton Hills,52,False
1391,"Canadian Cancer Society - Toronto, Peel, Southern York Regional Community Office",canadian cancer society toronto peel southern york regional community office,,Eden Community Homes,70,False
1392,Compassion Transportation Service,compassion transportation service,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",58,False
1393,Headwaters Homecare for Seniors,headwaters homecare for seniors,,St Joseph's Health Care London,51,False
1394,Nurse Next Door Homecare Services,nurse next door homecare services,,Niagara (Region of). Public Health and Emergency Services,61,False
1395,Right at Home Canada,right at home canada,,Recovery Canada,72,True
1396,Seniors for Seniors Driver Companions,seniors for seniors driver companions,,Eden Community Homes,55,False
1397,Spectrum Patient Services,spectrum patient services,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",67,False
1398,The Shelburne Transporter,the shelburne transporter,,YWCA Toronto - Housing and Supports,54,False
1399,Caledon Psychotherapy,caledon psychotherapy,,Recovery Canada,50,False
1400,Caledon/Dufferin Victim Services,caledon dufferin victim services,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",64,False
1403,Family Transition Place,family transition place,,Hanover Place,70,False
1404,Victim Services of Peel,victim services of peel,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",68,False
1406,Caledon Community Services,caledon community services,,Eden Community Homes,77,True
1407,Caledon Specialist Clinic,caledon specialist clinic,,Huron Perth Healthcare Alliance,53,False
1415,Peel Family Mediation Services - Orangeville Courthouse Location,peel family mediation services orangeville courthouse location,,Indwell,57,False
1423,Callander Frozen Meal Service,callander frozen meal service,,CMHA Thames Valley Addiction and Mental Health Services,65,False
1426,Callander Animal Hospital,callander animal hospital,Hwy,HF Care,44,False
1428,Counselling in the Community,counselling in the community,,Eden Community Homes,71,False
1429,Doorways Clinic,doorways clinic,,Wellkin,50,False
1431,mindyourmind,mindyourmind,,Indwell,60,False
1433,North Dumfries Community Health Centre,north dumfries community health centre,,Eden Community Homes,70,False
1436,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
1437,Kids Help Phone,kids help phone,,Indwell,57,False
1441,The Woods Counselling Co.,the woods counselling co,,Wellkin,71,False
1442,Halton Hills Academy,halton hills academy,-,Canadian Mental Health Association Hastings Prince Edward,50,False
1443,The Mindful Living Centre,the mindful living centre,-,Wellkin,57,False
1444,T. Castle Counselling,t castle counselling,-,Wellkin,77,True
1445,New Leaf Psychology Centre,new leaf psychology centre,-,Canadian Mental Health Association Hastings Prince Edward,38,False
1447,Co & Associates,co & associates,Main St E,"Canadian Mental Health Association, Hamilton",60,False
1449,Dr T Murphy & Associates,dr t murphy & associates,-,Canadian Mental Health Association Hastings Prince Edward,54,False
1450,The WOMB - World of my Baby,the womb world of my baby,Main St E,Mental Health Rights Coalition,33,False
1453,Therapy Helps,therapy helps,-,Canadian Mental Health Association Hastings Prince Edward,54,False
1461,LGBTQ Mental Health Counseling Grassie,lgbtq mental health counseling grassie,,CMHA Thames Valley Addiction and Mental Health Services,66,False
1462,LGBTQ Mental Health Counseling Caistor Centre,lgbtq mental health counseling caistor centre,,Southwest Ontario Aboriginal Health Access Centre,62,False
1464,LGBTQ Mental Health Counseling Arkell,lgbtq mental health counseling arkell,,CMHA Thames Valley Addiction and Mental Health Services,63,False
1467,LGBTQ Mental Health Counseling Scotland,lgbtq mental health counseling scotland,,Canadian Mental Health Association. Simcoe County Branch,62,False
1468,LGBTQ Mental Health Counseling Hornby,lgbtq mental health counseling hornby,,CMHA Thames Valley Addiction and Mental Health Services,60,False
1472,LGBTQ Mental Health Counseling Vineland,lgbtq mental health counseling vineland,,CMHA Thames Valley Addiction and Mental Health Services,65,False
1473,LGBTQ Mental Health Counseling Campden,lgbtq mental health counseling campden,,CMHA Thames Valley Addiction and Mental Health Services,66,False
1475,LGBTQ Mental Health Counseling Eden Mills,lgbtq mental health counseling eden mills,,CMHA Thames Valley Addiction and Mental Health Services,62,False
1478,LGBTQ Mental Health Counseling Rockwood,lgbtq mental health counseling rockwood,,CMHA Thames Valley Addiction and Mental Health Services,61,False
1479,LGBTQ Mental Health Counseling Princeton,lgbtq mental health counseling princeton,,CMHA Thames Valley Addiction and Mental Health Services,67,False
1481,LGBTQ Mental Health Counseling Cathcart,lgbtq mental health counseling cathcart,,CMHA Thames Valley Addiction and Mental Health Services,61,False
1482,LGBTQ Mental Health Counseling Canfield,lgbtq mental health counseling canfield,,CMHA Thames Valley Addiction and Mental Health Services,65,False
1485,LGBTQ Mental Health Counseling Limehouse,lgbtq mental health counseling limehouse,,CMHA Thames Valley Addiction and Mental Health Services,63,False
1486,LGBTQ Mental Health Counseling Terra Cotta,lgbtq mental health counseling terra cotta,,Canadian Mental Health Association. Simcoe County Branch,60,False
1489,LGBTQ Mental Health Counseling Maryhill,lgbtq mental health counseling maryhill,,CMHA Thames Valley Addiction and Mental Health Services,61,False
1490,LGBTQ Mental Health Counseling Ballinafad,lgbtq mental health counseling ballinafad,,Wellkin,57,False
1491,LGBTQ Mental Health Counseling Vineland Station,lgbtq mental health counseling vineland station,,CMHA Thames Valley Addiction and Mental Health Services,60,False
1493,LGBTQ Mental Health Counseling Huttonville,lgbtq mental health counseling huttonville,,CMHA Thames Valley Addiction and Mental Health Services,62,False
1494,LGBTQ Mental Health Counseling Teeterville,lgbtq mental health counseling teeterville,,CMHA Thames Valley Addiction and Mental Health Services,65,False
1495,LGBTQ Mental Health Counseling Springbrook,lgbtq mental health counseling springbrook,,CMHA Thames Valley Addiction and Mental Health Services,58,False
1496,LGBTQ Mental Health Counseling Windham Centre,lgbtq mental health counseling windham centre,,CMHA Thames Valley Addiction and Mental Health Services,59,False
1497,LGBTQ Mental Health Counseling Bloomingdale,lgbtq mental health counseling bloomingdale,,CMHA Thames Valley Addiction and Mental Health Services,58,False
1500,LGBTQ Mental Health Counseling Petersburg,lgbtq mental health counseling petersburg,,CMHA Thames Valley Addiction and Mental Health Services,62,False
1501,LGBTQ Mental Health Counseling Cheltenham,lgbtq mental health counseling cheltenham,,CMHA Thames Valley Addiction and Mental Health Services,62,False
1503,LGBTQ Mental Health Counseling Bright,lgbtq mental health counseling bright,,CMHA Thames Valley Addiction and Mental Health Services,63,False
1504,LGBTQ Mental Health Counseling St Agatha,lgbtq mental health counseling st agatha,,CMHA Thames Valley Addiction and Mental Health Services,60,False
1505,LGBTQ Mental Health Counseling La Salette,lgbtq mental health counseling la salette,,CMHA Thames Valley Addiction and Mental Health Services,59,False
1506,LGBTQ Mental Health Counseling Harley,lgbtq mental health counseling harley,,CMHA Thames Valley Addiction and Mental Health Services,63,False
1507,LGBTQ Mental Health Counseling Norwich,lgbtq mental health counseling norwich,,CMHA Thames Valley Addiction and Mental Health Services,66,False
1508,LGBTQ Mental Health Counseling St Jacobs,lgbtq mental health counseling st jacobs,,CMHA Thames Valley Addiction and Mental Health Services,63,False
1510,LGBTQ Mental Health Counseling Port Robinson,lgbtq mental health counseling port robinson,,Family Mental Health Support Network of Niagara,62,False
1511,LGBTQ Mental Health Counseling Ridgeville,lgbtq mental health counseling ridgeville,,CMHA Thames Valley Addiction and Mental Health Services,66,False
1512,LGBTQ Mental Health Counseling Baden,lgbtq mental health counseling baden,,CMHA Thames Valley Addiction and Mental Health Services,64,False
1513,LGBTQ Mental Health Counseling Vittoria,lgbtq mental health counseling vittoria,,Family Mental Health Support Network of Niagara,62,False
1515,LGBTQ Mental Health Counseling Lowbanks,lgbtq mental health counseling lowbanks,,CMHA Thames Valley Addiction and Mental Health Services,61,False
1516,LGBTQ Mental Health Counseling Vanessa,lgbtq mental health counseling vanessa,,CMHA Thames Valley Addiction and Mental Health Services,66,False
1520,LGBTQ Mental Health Counseling Burgessville,lgbtq mental health counseling burgessville,,CMHA Thames Valley Addiction and Mental Health Services,64,False
1521,LGBTQ Mental Health Counseling Jordan Station,lgbtq mental health counseling jordan station,,Parents For Children's Mental Health,62,False
1522,LGBTQ Mental Health Counseling Fenwick,lgbtq mental health counseling fenwick,,CMHA Thames Valley Addiction and Mental Health Services,62,False
1523,LGBTQ Mental Health Counseling Delhi,lgbtq mental health counseling delhi,,Indwell,71,False
1524,LGBTQ Mental Health Counseling Heidelberg,lgbtq mental health counseling heidelberg,,CMHA Thames Valley Addiction and Mental Health Services,59,False
1529,LGBTQ Mental Health Counseling Inglewood,lgbtq mental health counseling inglewood,,CMHA Thames Valley Addiction and Mental Health Services,60,False
1532,LGBTQ Mental Health Counseling Ariss,lgbtq mental health counseling ariss,,CMHA Thames Valley Addiction and Mental Health Services,68,False
1533,LGBTQ Mental Health Counseling St Clements,lgbtq mental health counseling st clements,,CMHA Thames Valley Addiction and Mental Health Services,65,False
1534,LGBTQ Mental Health Counseling Hillsburgh,lgbtq mental health counseling hillsburgh,,CMHA Thames Valley Addiction and Mental Health Services,59,False
1556,Cambrian College - Health and Wellness Clinic,cambrian college health and wellness clinic,-,Wellkin,71,False
1563,Crawford Therapy,crawford therapy,,CMHA Thames Valley Addiction and Mental Health Services,50,False
1565,nan,nan,,National Eating Disorder Information Centre,80,True
1566,Ottawa Valley Family Health Team,ottawa valley family health team,,Brightshores Health System,59,False
1578,Community Crisis Response Service,community crisis response service,,Eden Community Homes,67,False
1579,Suicide Crisis Helpline,suicide crisis helpline,,Wellkin,71,False
1586,Open Line Open Mind,open line open mind,,Indwell,60,False
1590,Central Hastings Family Health Team,central hastings family health team,,Family Mental Health Support Network of Niagara,61,False
1591,Heart of Hastings Hospice,heart of hastings hospice,,Canadian Mental Health Association. Simcoe County Branch,60,False
1596,Women's Healthcare Centre – Peterborough Regional Health Centre,women s healthcare centre peterborough regional health centre,,Huron Perth Healthcare Alliance,65,False
1597,Elizabeth Fry Society,elizabeth fry society,,Alzheimer Society Huron Perth,63,False
1598,Community Counselling and Resource Centre,community counselling and resource centre,,Wellkin,71,False
1601,John Howard Society,john howard society,,Alzheimer Society Huron Perth,56,False
1603,Partners in Pregnancy Clinic,partners in pregnancy clinic,,Partnering Horses with Humans,58,False
1604,YWCA Peterborough Haliburton,ywca peterborough haliburton,,YWCA Toronto - Housing and Supports,56,False
1605,Peterborough Police Service – Victim Services Unit,peterborough police service victim services unit,,Hanover Place,54,False
1606,Victim Services of Peterborough and Northumberland,victim services of peterborough and northumberland,,"Keystone Child, Youth and Family Services",56,False
1607,Peterborough Community Legal Centre,peterborough community legal centre,,Eden Community Homes,62,False
1608,Dalhousie Youth Support Services,dalhousie youth support services,,"Keystone Child, Youth and Family Services",61,False
1609,Telecare Peterborough,telecare peterborough,,PLEO - Parents' Lifeline,47,False
1610,Community Counselling and Resource Centre (CCRC),community counselling and resource centre,,Wellkin,71,False
1611,Kawartha Sexual Assault Centre,kawartha sexual assault centre,,Southwest Ontario Aboriginal Health Access Centre,60,False
1634,Quick Access Clinic,quick access clinic,,Southwest Ontario Aboriginal Health Access Centre,61,False
1639,Espanola Family Health Team,espanola family health team,,Family Mental Health Support Network of Niagara,65,False
1640,Noojmowin Teg Aboriginal Health Center,noojmowin teg aboriginal health center,,Southwest Ontario Aboriginal Health Access Centre,71,False
1641,Canadian Mental Health Association,canadian mental health association,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
1650,Centre Hastings Physio,centre hastings physio,-,Canadian Mental Health Association Hastings Prince Edward,64,False
1653,Durham Community Health Centre - Pickering,durham community health centre pickering,-,Canadian Mental Health Association Hastings Prince Edward,50,False
1659,Kingston Community Health Centres,kingston community health centres,,Eden Community Homes,70,False
1666,Homewood Health Centre,homewood health centre,,Southwest Ontario Aboriginal Health Access Centre,74,True
1668,Guelph-Wellington Women in Crisis,guelph wellington women in crisis,,Wellkin,86,True
1671,The Grove Youth Wellness Hubs,the grove youth wellness hubs,,Wellkin,71,False
1685,Chapleau Health Services,chapleau health services,,CMHA Thames Valley Addiction and Mental Health Services,86,True
1686,Turning Point,turning point,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",62,False
1692,Sault Area Hospital Addictions Treatment Clinic (ATC),sault area hospital addictions treatment clinic,,CMHA Thames Valley Addiction and Mental Health Services,56,False
1693,A New Link Community Alcohol/Drug Assessment Program (CADAP),a new link community alcohol drug assessment program,,Eden Community Homes,70,False
1694,Safe Beds,safe beds,,Friendship Bench (The),50,False
1697,Crawford Therapy: Compassionate Counseling,crawford therapy compassionate counseling,,Wellkin,67,False
1703,Windsor Regional Hospital Mental Health Program,windsor regional hospital mental health program,,Family Mental Health Support Network of Niagara,65,False
1704,Chatham-Kent Community Health Centers,chatham kent community health centers,,Eden Community Homes,75,True
1708,Carefree Lodge,carefree lodge,,St Joseph's Health Care London,64,False
1714,Change Health Care Inc - Cornwall,change health care inc cornwall,,Huron Perth Healthcare Alliance,68,False
1724,Chisholm Centre,chisholm centre,,National Eating Disorder Information Centre,72,True
1725,Chisholm Academy,chisholm academy,,Niagara (Region of). Public Health and Emergency Services,50,False
1726,The Learning Disabilities Association of Ontario (LDAO),the learning disabilities association of ontario,,Spinal Cord Injury Ontario,60,False
1727,CADDAC,caddac,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",67,False
1728,Anxiety Canada,anxiety canada,,Recovery Canada,75,True
1729,The Association for Bright Children of Ontario,the association for bright children of ontario,,Spinal Cord Injury Ontario,58,False
1730,Developmental Services Ontario,developmental services ontario,,Spinal Cord Injury Ontario,60,False
1731,Canadian Mental Health Association,canadian mental health association,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
1732,Kids Help Phone,kids help phone,,Indwell,57,False
1748,Good 2 Talk,good 2 talk,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",45,False
1749,Valoris,valoris,,Overeaters Anonymous - St Catharines,62,False
1758,Clarence-Rockland Rehab Treatment Centers,clarence rockland rehab treatment centers,,Recovery Canada,60,False
1766,The Bridge Counselling Service,the bridge counselling service,,Wellkin,71,False
1771,Wonder Play and Talk Therapy,wonder play and talk therapy,-,Canadian Mental Health Association Hastings Prince Edward,51,False
1804,Talk and Play in Bruce Grey,talk and play in bruce grey,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",68,False
1825,Canadian Centre for Addictions,canadian centre for addictions,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",59,False
1826,Homewood Health Centre,homewood health centre,,Southwest Ontario Aboriginal Health Access Centre,74,True
1842,Huron Community Mental Health Services,huron community mental health services,,CMHA Thames Valley Addiction and Mental Health Services,81,True
1843,Huron Outreach Eating Disorders Program,huron outreach eating disorders program,,National Eating Disorder Information Centre,66,False
1846,Homewood Health Centre,homewood health centre,,Southwest Ontario Aboriginal Health Access Centre,74,True
1851,Community Withdrawal Support Services (CWSS) - Stonehenge Therapeutic Community,community withdrawal support services stonehenge therapeutic community,,Eden Community Homes,67,False
1856,Canada Suicide Prevention,canada suicide prevention,,Recovery Canada,57,False
1876,Cockburn Mental Health Clinic,cockburn mental health clinic,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",69,False
1877,Fiona Stanley Hospital,fiona stanley hospital,,Huron Health System - Alexandra Marine and General Hospital,67,False
1878,Fremantle Hospital,fremantle hospital,,Huron Health System - Alexandra Marine and General Hospital,80,True
1879,Rockingham General Hospital,rockingham general hospital,,Huron Health System - Alexandra Marine and General Hospital,81,True
1884,Homewood Health Centre,homewood health centre,,Southwest Ontario Aboriginal Health Access Centre,74,True
1886,9-8-8 Suicide Crisis Helpline,9 8 8 suicide crisis helpline,,Wellkin,71,False
1888,Kids Help Phone,kids help phone,,Indwell,57,False
1891,Hope for Wellness Helpline,hope for wellness helpline,,Wellkin,71,False
1892,National Indian Residential School Crisis Line,national indian residential school crisis line,,Indwell,60,False
1897,Cooks Mills Community Development Group,cooks mills community development group,,Eden Community Homes,70,False
1902,Bestway Rehab,bestway rehab,,Parents For Children's Mental Health,48,False
1906,nan,nan,,National Eating Disorder Information Centre,80,True
1947,Centres For Health and Healing,centres for health and healing,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",63,False
1948,Metanoia Health & Wellness,metanoia health & wellness,,Wellkin,71,False
1953,Courtice Health Centre,courtice health centre,Hwy,HF Care,57,False
1955,Mental Health Commission of Canada,mental health commission of canada,,Canadian Mental Health Association. Simcoe County Branch,68,False
1956,Jennifer Fishman,jennifer fishman,,General Topics and Information - Halton Hills,56,False
1957,James Clifton,james clifton,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",54,False
1958,James Warner,james warner,,Gamblers Anonymous,61,False
1959,Travis Walker,travis walker,,CMHA Thames Valley Addiction and Mental Health Services,54,False
1960,"Alison ""Ali"" Capurro",alison ali capurro,,National Eating Disorder Information Centre,55,False
1961,Patrick Argiro,patrick argiro,,Southwest Ontario Aboriginal Health Access Centre,57,False
1962,Selene Gomez,selene gomez,,Eden Community Homes,60,False
1963,Rachel Webster,rachel webster,,CMHA Thames Valley Addiction and Mental Health Services,57,False
1964,Garlena Rumsey,garlena rumsey,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",57,False
1965,Elizabeth Taylor,elizabeth taylor,,Wellkin,60,False
1969,Cumberland Village Health Care,cumberland village health care,,Huron Perth Healthcare Alliance,62,False
1972,Lobdell Center for Mental Health & Wellness at Lakeview,lobdell center for mental health & wellness at lakeview,,Wellkin,71,False
1973,Oswego Health,oswego health,,Parents For Children's Mental Health,70,False
1976,Dr. Julie McCune,dr julie mccune,,PLEO - Parents' Lifeline,50,False
1977,Steven Timms,steven timms,,Eden Community Homes,57,False
1978,Chris Kohlmann,chris kohlmann,,"Keystone Child, Youth and Family Services",57,False
1979,Nancy Reali,nancy reali,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",55,False
1980,Wendy Durant,wendy durant,,Wellkin,60,False
1981,Angela Matics,angela matics,,General Topics and Information - Halton Hills,62,False
1982,Jeffrey Riskin,jeffrey riskin,,Wellkin,60,False
1983,Lona Champagne,lona champagne,,Hanover Place,52,False
1984,The Midwives' Clinic of East York - Don Mills,the midwives clinic of east york don mills,,Indwell,57,False
1985,Rose Health Clinic,rose health clinic,,St Joseph's Health Care London,67,False
1988,Kulsum Cares,kulsum cares,,Overeaters Anonymous - St Catharines,52,False
1995,Dawson Helping Tree,dawson helping tree,,National Eating Disorder Information Centre,58,False
1996,Dawson Women’s Shelter,dawson women s shelter,,CMHA Thames Valley Addiction and Mental Health Services,59,False
1997,"Canadian Mental Health Association, Yukon Division",canadian mental health association yukon division,,Canadian Mental Health Association. Simcoe County Branch,86,True
1998,Jëje Zho - Men’s Shelter and Transitional Home,jëje zho men s shelter and transitional home,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",56,False
1999,Dawson City Community Hospital,dawson city community hospital,,Eden Community Homes,75,True
2000,Dawson Health Centre,dawson health centre,,Southwest Ontario Aboriginal Health Access Centre,79,True
2001,Dawson Medical Clinic,dawson medical clinic,,Wellkin,57,False
2002,McDonald Lodge,mcdonald lodge,,CMHA Thames Valley Addiction and Mental Health Services,50,False
2003,AccessMHA,accessmha,,Southwest Ontario Aboriginal Health Access Centre,67,False
2007,Booker Sumner Community Mental Health Center,booker sumner community mental health center,,Eden Community Homes,70,False
2024,Homewood Health Centre,homewood health centre,,Southwest Ontario Aboriginal Health Access Centre,74,True
2042,Waypoint Centre for Mental Health Care,waypoint centre for mental health care,Church St,Patient / Client and Family Council,48,False
2049,CMHA Crisis Line,cmha crisis line,,Indwell,60,False
2052,"Canadian Mental Health Association, Elgin Branch",canadian mental health association elgin branch,,Canadian Mental Health Association. Simcoe County Branch,93,True
2069,Minwaashin Lodge Indigenous Women’s Support Centre,minwaashin lodge indigenous women s support centre,,Indwell,57,False
2073,Family and Community Support Services (FCSS),family and community support services,,"Keystone Child, Youth and Family Services",68,False
2074,Drayton Valley Counseling Centre,drayton valley counseling centre,,Wellkin,57,False
2076,Drayton Valley Community Cancer Centre,drayton valley community cancer centre,,Eden Community Homes,65,False
2077,Drayton Valley Community Health Centre,drayton valley community health centre,,Eden Community Homes,70,False
2078,Drayton Valley Hospital and Care Centre,drayton valley hospital and care centre,,Huron Health System - Alexandra Marine and General Hospital,58,False
2082,Crisis Response Services,crisis response services,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",68,False
2091,Dryden Regional Health Centre,dryden regional health centre,,Southwest Ontario Aboriginal Health Access Centre,70,False
2093,Dryden Regional Health Centre,dryden regional health centre,,Southwest Ontario Aboriginal Health Access Centre,70,False
2100,Canadian Mental Health Association Algoma,canadian mental health association algoma,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",94,True
2102,North East Mental Wellness & Crisis Service,north east mental wellness & crisis service,,Wellkin,71,False
2103,Homewood Health Centre,homewood health centre,,Southwest Ontario Aboriginal Health Access Centre,74,True
2105,Lady Dunn Health Centre,lady dunn health centre,,Southwest Ontario Aboriginal Health Access Centre,72,True
2108,Whitestone and Area Nursing Station,whitestone and area nursing station,,Overeaters Anonymous - St Catharines,53,False
2110,South East Grey Community Health Centre – Dundalk Sites,south east grey community health centre dundalk sites,,Eden Community Homes,70,False
2117,Dundas Family Medical Group,dundas family medical group,,Family Mental Health Support Network of Niagara,59,False
2119,George Hull Centre,george hull centre,,National Eating Disorder Information Centre,59,False
2120,Humber River Health,humber river health,,Huron Perth Healthcare Alliance,70,False
2121,Michael Garron Hospital,michael garron hospital,,Huron Health System - Alexandra Marine and General Hospital,65,False
2122,North York General Hospital,north york general hospital,,Huron Health System - Alexandra Marine and General Hospital,78,True
2123,Ontario Shores Centre,ontario shores centre,,Southwest Ontario Aboriginal Health Access Centre,80,True
2124,Scarborough Health Network,scarborough health network,,Family Mental Health Support Network of Niagara,70,False
2125,Surrey Place,surrey place,,Hanover Place,74,True
2126,Trillium Health Partners,trillium health partners,,Family Mental Health Support Network of Niagara,62,False
2127,"University of Toronto, Health & Wellness Centre",university of toronto health & wellness centre,,Wellkin,71,False
2128,Waypoint Centre for Mental Health Care,waypoint centre for mental health care,,Parents For Children's Mental Health,70,False
2129,Youthdale Treatment Centres,youthdale treatment centres,,National Eating Disorder Information Centre,59,False
2138,Salvation Army (The) - Dunnville - Community and Family Services,salvation army dunnville community and family services,,"Keystone Child, Youth and Family Services",73,True
2143,Homewood Health Centre,homewood health centre,,Southwest Ontario Aboriginal Health Access Centre,74,True
2159,Mental Health and Addictions Centre of Excellence,mental health and addictions centre of excellence,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",75,True
2182,Marianhill Long-Term Care and Community Support Services - Eganville,marianhill long term care and community support services eganville,,Eden Community Homes,70,False
2183,Mackay Manor - Community Withdrawal Management Services,mackay manor community withdrawal management services,,Eden Community Homes,65,False
2185,Robbie Dean Centre,robbie dean centre,,National Eating Disorder Information Centre,67,False
2192,Grassie LGBTQ Mental Health Counseling,grassie lgbtq mental health counseling,,Wellkin,67,False
2193,Caistor Centre LGBTQ Mental Health Counseling,caistor centre lgbtq mental health counseling,,Wellkin,67,False
2194,Smithville LGBTQ Mental Health Counseling,smithville lgbtq mental health counseling,,Wellkin,67,False
2195,Arkell LGBTQ Mental Health Counseling,arkell lgbtq mental health counseling,,Wellkin,67,False
2196,Ayr LGBTQ Mental Health Counseling,ayr lgbtq mental health counseling,,Wellkin,67,False
2197,Jarvis LGBTQ Mental Health Counseling,jarvis lgbtq mental health counseling,,Wellkin,67,False
2198,Scotland LGBTQ Mental Health Counseling,scotland lgbtq mental health counseling,,Wellkin,67,False
2199,Hornby LGBTQ Mental Health Counseling,hornby lgbtq mental health counseling,,Wellkin,67,False
2200,Burford LGBTQ Mental Health Counseling,burford lgbtq mental health counseling,,Wellkin,67,False
2201,Beamsville LGBTQ Mental Health Counseling,beamsville lgbtq mental health counseling,,Wellkin,67,False
2202,Waterford LGBTQ Mental Health Counseling,waterford lgbtq mental health counseling,,Wellkin,67,False
2203,Vineland LGBTQ Mental Health Counseling,vineland lgbtq mental health counseling,,CMHA Thames Valley Addiction and Mental Health Services,67,False
2204,Campden LGBTQ Mental Health Counseling,campden lgbtq mental health counseling,,Wellkin,67,False
2205,Orton LGBTQ Mental Health Counseling,orton lgbtq mental health counseling,,Wellkin,67,False
2206,Eden Mills LGBTQ Mental Health Counseling,eden mills lgbtq mental health counseling,,Wellkin,67,False
2207,Acton LGBTQ Mental Health Counseling,acton lgbtq mental health counseling,,CMHA Thames Valley Addiction and Mental Health Services,68,False
2208,Breslau LGBTQ Mental Health Counseling,breslau lgbtq mental health counseling,,Wellkin,67,False
2209,Rockwood LGBTQ Mental Health Counseling,rockwood lgbtq mental health counseling,,Wellkin,67,False
2210,Princeton LGBTQ Mental Health Counseling,princeton lgbtq mental health counseling,,Wellkin,67,False
2211,New Dundee LGBTQ Mental Health Counseling,new dundee lgbtq mental health counseling,,Wellkin,67,False
2212,Cathcart LGBTQ Mental Health Counseling,cathcart lgbtq mental health counseling,,Wellkin,67,False
2213,Canfield LGBTQ Mental Health Counseling,canfield lgbtq mental health counseling,,Wellkin,67,False
2214,Drumbo LGBTQ Mental Health Counseling,drumbo lgbtq mental health counseling,,Wellkin,67,False
2215,Wellandport LGBTQ Mental Health Counseling,wellandport lgbtq mental health counseling,,Wellkin,77,True
2216,Limehouse LGBTQ Mental Health Counseling,limehouse lgbtq mental health counseling,,Wellkin,67,False
2217,Terra Cotta LGBTQ Mental Health Counseling,terra cotta lgbtq mental health counseling,,Wellkin,67,False
2218,Georgetown LGBTQ Mental Health Counseling,georgetown lgbtq mental health counseling,,Wellkin,67,False
2219,Dunnville LGBTQ Mental Health Counseling,dunnville lgbtq mental health counseling,,Wellkin,67,False
2220,Maryhill LGBTQ Mental Health Counseling,maryhill lgbtq mental health counseling,,Wellkin,67,False
2221,Ballinafad LGBTQ Mental Health Counseling,ballinafad lgbtq mental health counseling,,Wellkin,67,False
2222,Vineland Station LGBTQ Mental Health Counseling,vineland station lgbtq mental health counseling,,Indwell,67,False
2223,Norval LGBTQ Mental Health Counseling,norval lgbtq mental health counseling,,Wellkin,67,False
2224,Huttonville LGBTQ Mental Health Counseling,huttonville lgbtq mental health counseling,,Wellkin,67,False
2225,Teeterville LGBTQ Mental Health Counseling,teeterville lgbtq mental health counseling,,Wellkin,67,False
2226,Springbrook LGBTQ Mental Health Counseling,springbrook lgbtq mental health counseling,,Wellkin,67,False
2227,Windham Centre LGBTQ Mental Health Counseling,windham centre lgbtq mental health counseling,,Wellkin,67,False
2228,Bloomingdale LGBTQ Mental Health Counseling,bloomingdale lgbtq mental health counseling,,Wellkin,67,False
